Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;0;0;0;0;0;0;0;0;0;1;2021;Araçatuba;Andradina;02 DP - Andradina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;0;0;0;0;0;0;0;0;1;2021;Araçatuba;Andradina;02 DP - Andradina
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Araçatuba;Andradina;02 DP - Andradina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Araçatuba;Andradina;02 DP - Andradina
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;0;0;0;0;0;1;0;1;0;4;2021;Araçatuba;Andradina;02 DP - Andradina
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Araçatuba;Andradina;02 DP - Andradina
TENTATIVA DE HOMICÍDIO;4;1;0;1;0;0;1;5;0;0;2;3;17;2021;Araçatuba;Andradina;02 DP - Andradina
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;1;0;0;1;2021;Araçatuba;Andradina;02 DP - Andradina
LESÃO CORPORAL DOLOSA;11;3;8;10;7;14;9;11;11;12;10;14;120;2021;Araçatuba;Andradina;02 DP - Andradina
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;9;17;5;4;9;11;18;30;12;11;11;145;2021;Araçatuba;Andradina;02 DP - Andradina
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Araçatuba;Andradina;02 DP - Andradina
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Araçatuba;Andradina;02 DP - Andradina
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Araçatuba;Andradina;02 DP - Andradina
TOTAL DE ESTUPRO (4);1;1;2;0;3;2;1;0;1;0;3;1;15;2021;Araçatuba;Andradina;02 DP - Andradina
ESTUPRO;0;0;1;0;0;0;1;0;1;0;0;0;3;2021;Araçatuba;Andradina;02 DP - Andradina
ESTUPRO DE VULNERÁVEL;1;1;1;0;3;2;0;0;0;0;3;1;12;2021;Araçatuba;Andradina;02 DP - Andradina
TOTAL DE ROUBO - OUTROS (1);2;1;2;3;2;3;1;1;1;2;1;2;21;2021;Araçatuba;Andradina;02 DP - Andradina
ROUBO - OUTROS;2;0;2;3;2;3;1;1;1;2;0;2;19;2021;Araçatuba;Andradina;02 DP - Andradina
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Araçatuba;Andradina;02 DP - Andradina
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;Araçatuba;Andradina;02 DP - Andradina
ROUBO DE CARGA;0;1;0;0;0;0;0;0;0;0;1;0;2;2021;Araçatuba;Andradina;02 DP - Andradina
FURTO - OUTROS;26;21;37;38;46;41;33;33;33;36;37;25;406;2021;Araçatuba;Andradina;02 DP - Andradina
FURTO DE VEÍCULO;1;2;1;0;2;4;1;0;1;0;0;2;14;2021;Araçatuba;Andradina;02 DP - Andradina
